,Missing_Count,Missing_Percentage
Race,140203,91.8
Comment,140077,91.71
VehicleMakeModelType,135502,88.72
TrailerAttached,133629,87.49
PartySubType,133629,87.49
HitAndRunFlag,125944,82.46
SpeedingFlag,125944,82.46
MinorInjuries_vehicle,123893,81.12
ModerateInjuries_vehicle,123884,81.11
SevereInjuries_vehicle,123884,81.11
FatalInjuries_vehicle,123880,81.11
PossibleTransientFlag,123860,81.1
InattentionCodes,123860,81.1
SafetyEquipment,123860,81.1
SafetyEquipmentCategory,123860,81.1
Speed,101961,66.76
Sex,41113,26.92
VehicleDamage,4595,3.01
Distance,3477,2.28
BStreetName,2,0.0
